M,Ef Construct,Limit,Ef Search,Avg Latency,Throughput (QPS),Recall,Indexing Time,Inserting Time,Search Time
8,64,1,128,0.7790390980243683,1.283632621951819,0.3448,315.541296005249,92.98588967323303,7790.390980243683
8,64,1,128,0.7703968474149704,1.2980323106921479,0.3444,414.50509119033813,88.24755215644836,7703.968474149704
8,64,1,256,0.769279978632927,1.299916841430192,0.3632,315.541296005249,92.98588967323303,7692.799786329269
8,64,1,256,0.769182283616066,1.300081945854002,0.3632,414.50509119033813,88.24755215644836,7691.82283616066
8,64,1,512,0.7717060522317887,1.2958301896272304,0.3809,315.541296005249,92.98588967323303,7717.060522317886
8,64,1,512,0.7710721465349197,1.2968955038693162,0.3809,414.50509119033813,88.24755215644836,7710.721465349197
8,64,10,128,0.7430113098144532,1.3458745335245608,0.34926,315.541296005249,92.98588967323303,7430.113098144531
8,64,10,128,0.7438208707809448,1.3444097084155358,0.34926,414.50509119033813,88.24755215644836,7438.208707809448
8,64,10,256,0.7056143479108811,1.417204742166467,0.36781,315.541296005249,92.98588967323303,7056.14347910881
8,64,10,256,0.7058328317165374,1.416766059986283,0.36781,414.50509119033813,88.24755215644836,7058.328317165375
8,64,10,512,0.7201531574964524,1.388593509020234,0.38591,315.541296005249,92.98588967323303,7201.531574964523
8,64,10,512,0.720816162276268,1.387316284421393,0.38591,414.50509119033813,88.24755215644836,7208.16162276268
8,64,100,128,0.7157392558097839,1.3971568443156088,0.347751,315.541296005249,92.98588967323303,7157.392558097839
8,64,100,128,0.7162364678621292,1.3961869366759099,0.347751,414.50509119033813,88.24755215644836,7162.364678621292
8,64,100,256,0.715371238732338,1.3978756006070832,0.36698,315.541296005249,92.98588967323303,7153.7123873233795
8,64,100,256,0.7146295539617539,1.3993263984902573,0.36698,414.50509119033813,88.24755215644836,7146.295539617538
8,64,100,512,0.7196857101678849,1.3894954226154148,0.386387,315.541296005249,92.98588967323303,7196.857101678848
